id,title,question_text,choices
9174531,Question 105,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">Which of the following is NOT a key concept in Requirement Engineering?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",Stakeholder Identification; Requirements Elicitation; Code Implementation; Requirements Validation; questions_204205020325.csv
9174532,Question 106,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">What does Requirements Elicitation involve?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",Gathering requirements from stakeholders; Documenting requirements; Validating requirements; Managing changes to requirements; questions_204205020325.csv
9174533,Question 107,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">Requirements Analysis focuses on which of the following?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",Understanding and refining gathered requirements; Gathering requirements from stakeholders; Documenting requirements; Validating requirements; questions_204205020325.csv
9174534,Question 108,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">What is the purpose of Requirements Specification?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",To gather requirements; To document requirements clearly; To validate requirements; To manage changes; questions_204205020325.csv
9174535,Question 109,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">Requirements Validation ensures that requirements are:<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",Feasible for implementation; Documented clearly; Gathered from stakeholders; Prioritized correctly; questions_204205020325.csv
9174536,Question 110,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">What does Requirements Management involve?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",Tracking changes and maintaining integrity of requirements; Gathering requirements; Validating requirements; Documenting requirements; questions_204205020325.csv
9174537,Question 111,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">Functional Requirements specify:<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",How the system performs its functions; What the system should do; Quality attributes of the system; Stakeholder needs; questions_204205020325.csv
9174538,Question 112,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">Non-Functional Requirements address which of the following?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",What the system should do; How the system performs its functions; Stakeholder identification; Requirements validation; questions_204205020325.csv
9174539,Question 113,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">Which process involves evaluating and prioritizing gathered requirements?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",Requirements Elicitation; Requirements Analysis; Requirements Specification; Requirements Management; questions_204205020325.csv
9174540,Question 114,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">What is the first step in the Requirement Engineering process?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",Requirements Specification; Requirements Elicitation; Requirements Validation; Requirements Management; questions_204205020325.csv
9174541,Question 115,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">Which of the following is a key benefit of Requirement Engineering?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",Increased software bugs; Enhanced project efficiency; Reduced stakeholder involvement; Decreased user satisfaction; questions_204205020325.csv
9174542,Question 116,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">What is the role of stakeholder identification in Requirement Engineering?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",To gather requirements; To document requirements; To recognize all parties involved; To validate requirements; questions_204205020325.csv
9174543,Question 117,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">Requirements Validation is critical for ensuring that requirements are:<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",Clear and concise; Feasible and meet stakeholder needs; Documented properly; Prioritized correctly; questions_204205020325.csv
9174544,Question 118,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">What does the process of Requirements Specification aim to achieve?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",Gathering requirements; Documenting requirements clearly; Validating requirements; Managing changes; questions_204205020325.csv
9174545,Question 119,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">Which of the following processes helps maintain the integrity of requirements throughout the project lifecycle?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",Requirements Elicitation; Requirements Analysis; Requirements Management; Requirements Specification; questions_204205020325.csv
9174546,Question 120,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">What is the significance of Requirements Analysis in Requirement Engineering?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",It helps in gathering requirements; It focuses on understanding and refining requirements; It documents requirements; It validates requirements; questions_204205020325.csv
9174547,Question 121,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">Which of the following best describes Non-Functional Requirements?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",They specify what the system should do; They define how the system performs its functions; They are not important; They are only about performance; questions_204205020325.csv
9174548,Question 122,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">What is the final goal of Requirement Engineering?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",To deliver software that meets user expectations; To gather as many requirements as possible; To document requirements; To validate requirements; questions_204205020325.csv
9174549,Question 123,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">Which of the following is a method used in Requirements Elicitation?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",Interviews; Coding; Testing; Deployment; questions_204205020325.csv
9174550,Question 124,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">What is the relationship between Requirement Engineering and software development phases?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",It is unrelated; It lays the groundwork for subsequent phases; It only affects the testing phase; It is only important during implementation; questions_204205020325.csv
9174551,Question 125,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">What is the importance of documenting requirements?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",To ensure clarity and facilitate communication; To confuse stakeholders; To delay the project; To avoid validation; questions_204205020325.csv
9174552,Question 126,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">Which of the following is a key outcome of effective Requirement Engineering?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",Increased project costs; Decreased user satisfaction; Successful software delivery; More bugs in the software; questions_204205020325.csv
9174553,Question 127,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">What does Requirements Management help track?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",Changes to requirements; Stakeholder needs; Software bugs; Project timelines; questions_204205020325.csv
9174554,Question 128,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">What is the primary focus of Object-Oriented Programming (OOP)?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",Functions; Data; Logic; Procedures; questions_205628020325.csv
9174555,Question 129,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">Which of the following is NOT a key concept of OOP?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",Encapsulation; Inheritance; Polymorphism; Compilation; questions_205628020325.csv
9174556,Question 130,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">Encapsulation helps to protect data integrity by restricting access to certain components of an object.<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",TRUE; FALSE; questions_205628020325.csv
9174557,Question 131,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">Inheritance allows a new class to inherit properties and methods from an existing class.<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",TRUE; FALSE; questions_205628020325.csv
9174558,Question 132,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">Which of the following programming languages is NOT typically associated with OOP?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",Java; C++; Python; Assembly; questions_205628020325.csv
9174559,Question 133,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">Polymorphism allows methods to perform different actions based on the object it is acting upon.<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",TRUE; FALSE; questions_205628020325.csv
9174560,Question 134,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">Which of the following best describes abstraction in OOP?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",Hiding unnecessary details; Combining data and methods; Creating new classes; Overriding methods; questions_205628020325.csv
9174561,Question 135,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">What does encapsulation bundle together?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",Data and methods; Classes and objects; Functions and variables; Modules and packages; questions_205628020325.csv
9174562,Question 136,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">Which principle of OOP promotes code reuse?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",Encapsulation; Inheritance; Polymorphism; Abstraction; questions_205628020325.csv
9174563,Question 137,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">Abstraction simplifies complex systems by exposing only the necessary parts of an object.<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",TRUE; FALSE; questions_205628020325.csv
9174564,Question 138,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">Which of the following concepts allows for method overriding?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",Encapsulation; Inheritance; Abstraction; Data hiding; questions_205628020325.csv
9174565,Question 139,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">Which of the following statements about OOP is true?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",It is only used in Java.; It is a programming paradigm.; It does not support code reuse.; It is outdated.; questions_205628020325.csv
9174566,Question 140,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">Which of the following is an example of polymorphism?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",A class inheriting from another class; A method that can take different forms; Bundling data and methods; Hiding implementation details; questions_205628020325.csv
9174567,Question 141,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">Encapsulation may prevent unintended interference with data.<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",TRUE; FALSE; questions_205628020325.csv
9174568,Question 142,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">Inheritance establishes a hierarchical relationship between classes.<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",TRUE; FALSE; questions_205628020325.csv
9174569,Question 143,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">Which of the following is a benefit of using OOP?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",Increased complexity; Easier maintenance; Less modularity; More global variables; questions_205628020325.csv
9174570,Question 144,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">Which principle of OOP focuses on exposing only necessary parts of an object?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",Encapsulation; Inheritance; Polymorphism; Abstraction; questions_205628020325.csv
9174571,Question 145,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">Which of the following statements about encapsulation is true?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",It allows unrestricted access to data.; It combines data and methods into a single unit.; It is not important in OOP.; It only applies to methods.; questions_205628020325.csv
9174572,Question 146,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">Which of the following concepts allows for creating new classes with minimal code duplication?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",Encapsulation; Inheritance; Polymorphism; Abstraction; questions_205628020325.csv
9174573,Question 147,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">OOP promotes a structured approach to software development.<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",TRUE; FALSE; questions_205628020325.csv
9174574,Question 148,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">Which of the following is an example of encapsulation?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",A class that inherits from another class; A method that can take different forms; A class that contains both data and methods; A function that hides its implementation; questions_205628020325.csv
9174575,Question 149,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">Which of the following best describes the relationship between OOP principles?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",They are independent of each other.; They collectively enhance software flexibility.; They are only applicable in certain languages.; They complicate software design.; questions_205628020325.csv
9174576,Question 150,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">Which of the following is NOT a benefit of OOP?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",Modularity; Reusability; Flexibility; Increased complexity; questions_205628020325.csv
9174577,Question 151,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">Which principle of OOP allows for dynamic method resolution?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",Encapsulation; Inheritance; Polymorphism; Abstraction; questions_205628020325.csv
9174578,Question 152,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">Which of the following statements about inheritance is true?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",It allows a class to inherit properties from multiple classes.; It promotes code duplication.; It establishes a hierarchical relationship.; It is not used in OOP.; questions_205628020325.csv
9174579,Question 153,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">Which of the following is a characteristic of OOP?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",Focus on functions; Use of global variables; Modular design; Sequential processing; questions_205628020325.csv
9174580,Question 154,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">Which of the following concepts is essential for creating maintainable code?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",Encapsulation; Global variables; Procedural programming; Static typing; questions_205628020325.csv
9174581,Question 155,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">Which of the following is an example of abstraction?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",A class that hides its implementation details; A method that can take different forms; A class that inherits from another class; A function that combines data and methods; questions_205628020325.csv
9174582,Question 156,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">Which of the following statements about OOP is false?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",It is a programming paradigm.; It is only used in web development.; It allows for code reuse.; It promotes modularity.; questions_205628020325.csv
9174583,Question 157,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">Which of the following is a key benefit of using polymorphism?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",Increased complexity; Code adaptability; Less modularity; More global variables; questions_205628020325.csv
9174584,Question 158,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">Which of the following best describes the role of encapsulation in OOP?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",It allows unrestricted access to data.; It combines data and methods into a single unit.; It is not important in OOP.; It only applies to methods.; questions_205628020325.csv
9174585,Question 159,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">Which of the following principles of OOP allows for method overriding?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",Encapsulation; Inheritance; Polymorphism; Abstraction; questions_205628020325.csv
9174586,Question 160,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">Which of the following is a characteristic of inheritance?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",It allows for code duplication.; It establishes a hierarchical relationship.; It is not used in OOP.; It complicates software design.; questions_205628020325.csv
9174587,Question 161,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">Which of the following statements about abstraction is true?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",It hides unnecessary details.; It allows unrestricted access to data.; It is not important in OOP.; It only applies to methods.; questions_205628020325.csv
9174588,Question 162,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">Which of the following is a benefit of using OOP?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",Increased complexity; Easier maintenance; Less modularity; More global variables; questions_205628020325.csv
9174589,Question 163,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">Which of the following best describes polymorphism?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",A method that can take different forms; A class that inherits from another class; Bundling data and methods; Hiding implementation details; questions_205628020325.csv
9174590,Question 164,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">Which of the following is NOT a characteristic of OOP?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",Encapsulation; Inheritance; Polymorphism; Sequential processing; questions_205628020325.csv
9174591,Question 165,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">Which of the following principles of OOP focuses on exposing only necessary parts of an object?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",Encapsulation; Inheritance; Polymorphism; Abstraction; questions_205628020325.csv
9174592,Question 166,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">Which of the following statements about OOP is true?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",It is only used in Java.; It is a programming paradigm.; It does not support code reuse.; It is outdated.; questions_205628020325.csv
9174593,Question 167,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">Which of the following is an example of encapsulation?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",A class that inherits from another class; A method that can take different forms; A class that contains both data and methods; A function that hides its implementation; questions_205628020325.csv
9174594,Question 168,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">Which of the following best describes the relationship between OOP principles?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",They are independent of each other.; They collectively enhance software flexibility.; They are only applicable in certain languages.; They complicate software design.; questions_205628020325.csv
9174595,Question 169,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">What does the Object-Oriented Paradigm emphasize?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",Use of functions; Encapsulation of data and behavior; Sequential programming; Procedural programming; questions_205841020325.csv
9174596,Question 170,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">The Software Development Lifecycle (SDLC) includes which of the following phases?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",Design; Development; Testing; All of the above; questions_205841020325.csv
9174597,Question 171,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">UML Diagrams are used for what purpose?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",To write code; To illustrate system structure and behavior; To manage databases; To create user interfaces; questions_205841020325.csv
9174598,Question 172,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">Modularity in software design promotes what?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",Single large components; Dividing systems into smaller components; Complexity; Tight coupling; questions_205841020325.csv
9174599,Question 173,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">Abstraction in software design helps to:<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",Hide complex implementation details; Increase complexity; Reduce code readability; None of the above; questions_205841020325.csv
9174600,Question 174,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">Encapsulation restricts access to components of an object. True or False?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",TRUE; FALSE; questions_205841020325.csv
9174601,Question 175,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">Separation of Concerns enhances what aspect of software design?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",Modularity; Coupling; Complexity; Performance; questions_205841020325.csv
9174602,Question 176,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">Clean Code Principles focus on:<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",Writing complex code; Writing maintainable and readable code; Using as many functions as possible; None of the above; questions_205841020325.csv
9174603,Question 177,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">The SOLID Principles are aimed at improving what?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",Software design and maintainability; User experience; Database management; Network security; questions_205841020325.csv
9174604,Question 178,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">Which of the following is a programming principle?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",KISS; DRY; YAGNI; All of the above; questions_205841020325.csv
9174605,Question 179,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">Composition Over Inheritance suggests what?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",Using inheritance for all classes; Combining simpler components; Avoiding modularity; None of the above; questions_205841020325.csv
